ID,Sub-ID,Discoverer,Date discovered,Solution
5,9,Corina Miner,2018-10-03,88888111981101099555000b99455570bbba9444437777bbaaa2423333766aa222236666
5,10,Corina Miner,2018-10-03,88888111981101099555000b99455530bbba9444433337bbaaa2423777766aa222276666
6,1,Corina Miner,,992992229932211b33311114bbb3300444488abb0000477788aaa5557776688aa5556666
6,2,Corina Miner,2016-01-26,992992229932211b33311114bbb33004444777bb00004a8866777555aaa886666555aa88
7,1,Corina Miner,,88822288002228700007777b6666a7bbbbb664aaaaa33555444411333355541111999999
7,2,Corina Miner,2015-12-22,28822288002288700007777b6666a7bbbbb664aaaaa33555444411333355541111999999
7,3,Corina Miner,2018-10-03,08800088202088722227777b6666a7bbbbb664aaaaa33555444411333355541111999999
8,1,Corina Miner,,5550555a000aaa82020aa88b322228881bb3333744411bbb377774441116679999996666
8,2,Yuta Takagi,2014-02-16,222002220000a88555aaa88b3555aa881bb3333744411bbb377774441116679999996666
8,3,Corina Miner,2018-10-03,5550555a000aaa82020aa88b722228881bb3777744411bbb333374441116639999996666
8,4,Corina Miner,2018-10-03,222002220000a88555aaa88b7555aa881bb3777744411bbb333374441116639999996666
9,1,Corina Miner,,2220022200001119977b1a1199877bbaaa6998877bbbaa66888335554446633335554446
9,2,Corina Miner,2018-10-02,222002220000111997711a1b99877aaabb6998877aabbb66888335554446633335554446
9,3,Corina Miner,2018-10-02,2220022200001113377b1a1133377bbaaa6555377bbbaa66555888884446699999984446
9,4,Corina Miner,2018-10-02,222002220000111337711a1b33377aaabb6555377aabbb66555888884446699999984446
9,5,Corina Miner,2018-10-02,2220022200001113333b1a1177733bbaaa6555777bbbaa66555888884446699999984446
9,6,Corina Miner,2018-10-02,222002220000111333311a1b77733aaabb6555777aabbb66555888884446699999984446
9,7,Corina Miner,2018-10-02,2220022200005559977b555399877bb3336998877bbb3366888a111144466aaaaa114446
9,8,Corina Miner,2018-10-02,22200222000055599773555b99877333bb699887733bbb66888a111144466aaaaa114446
9,9,Corina Miner,2018-10-02,222002220000555aa77b5553aaa77bb33361a1177bbb3366111888884446699999984446
9,10,Corina Miner,2018-10-02,222002220000555aa773555baaa77333bb61a117733bbb66111888884446699999984446
9,11,Corina Miner,2018-10-02,22200222000055599777555b99833777bb699883333bbb66888a111144466aaaaa114446
9,12,Corina Miner,2018-10-02,222002220000555aa777555baaa33777bb61a113333bbb66111888884446699999984446
9,13,Corina Miner,2018-12-07,222002220000555aa777555baaa88777bb61a118833bbb66111883334446699999934446
9,14,Corina Miner,2018-12-07,222002220000555aa777555baaa11777bb68a111133bbb66888883334446699999934446
10,1,Corina Miner,,2221122271111004777700004444b7666635554bb66a3333555bbbaaaaa8399999988888
10,2,Corina Miner,2014-02-19,2221122271111004777700004444b7633335554bb6633a88555bbb66aaa889999996aa88
10,3,Corina Miner,2014-02-19,2221122271111004777700004444b7338885554bb333aa88555bbb663aaa89999996666a
10,4,Corina Miner,2014-02-19,2221122271111004777700004444b7888885554bb38aaaaa555bbb3333a6699999936666
10,5,Corina Miner,2014-02-19,2221122271111004777700004444b788aa65554bb88aaa66555bbb88a336699999933336
10,6,Corina Miner,2014-02-19,2221122271111004777700004444b7a66665554bb8aaa366555bbb88aa33399999988833
10,7,Corina Miner,2014-02-19,2221122271111004777700004444b76666a5554bb663aaa8555bbb333aa8899999933888
10,8,Corina Miner,2014-02-19,2221122271111004777700004444b76aa885554bb66aaa88555bbb6633a8899999963333
10,9,Corina Miner,2014-02-19,2221122271111004777700004444b7888885554bbaaaaa83555bbb66a333399999966663
10,10,Corina Miner,2014-02-19,2221122271111004777700004444b7888335554bb88aa333555bbb8aaa366999999a6666
10,11,Corina Miner,2014-02-19,2221122271111004777700004444b7333365554bb88a3366555bbb88aaa6699999988aa6
10,12,Corina Miner,2014-02-19,2221122271111004777700004444b7366665554bb3333a66555bbb38aaaaa99999988888
10,13,Corina Miner,2014-02-22,1112121172222004777700004444b7666635554bb66a3333555bbbaaaaa8399999988888
10,14,Corina Miner,2014-02-22,1112121172222004777700004444b7633335554bb6633a88555bbb66aaa889999996aa88
10,15,Corina Miner,2014-02-22,1112121172222004777700004444b7338885554bb333aa88555bbb663aaa89999996666a
10,16,Corina Miner,2014-02-22,1112121172222004777700004444b7888885554bb38aaaaa555bbb3333a6699999936666
10,17,Corina Miner,2014-02-22,1112121172222004777700004444b788aa65554bb88aaa66555bbb88a336699999933336
10,18,Corina Miner,2014-02-22,1112121172222004777700004444b7a66665554bb8aaa366555bbb88aa33399999988833
10,19,Corina Miner,2014-02-22,1112121172222004777700004444b76666a5554bb663aaa8555bbb333aa8899999933888
10,20,Corina Miner,2014-02-22,1112121172222004777700004444b76aa885554bb66aaa88555bbb6633a8899999963333
10,21,Corina Miner,2014-02-22,1112121172222004777700004444b7888885554bbaaaaa83555bbb66a333399999966663
10,22,Corina Miner,2014-02-22,1112121172222004777700004444b7888335554bb88aa333555bbb8aaa366999999a6666
10,23,Corina Miner,2014-02-22,1112121172222004777700004444b7333365554bb88a3366555bbb88aaa6699999988aa6
10,24,Corina Miner,2014-02-22,1112121172222004777700004444b7366665554bb3333a66555bbb38aaaaa99999988888
10,25,Corina Miner,2018-07-26,2221122271111004777700004444b7a666655548bbaaa36655588bbbaa33388899999933
10,26,Corina Miner,2018-07-26,1112121172222004777700004444b7a666655548bbaaa36655588bbbaa33388899999933
10,27,Corina Miner,2018-09-22,222112227111100b77770000bbbbb76666355544466a3333555444aaaaa8399999988888
10,28,Corina Miner,2018-09-22,222112227111100b77770000bbbbb7633335554446633a8855544466aaa889999996aa88
10,29,Corina Miner,2018-09-22,222112227111100b77770000bbbbb733888555444333aa88555444663aaa89999996666a
10,30,Corina Miner,2018-09-22,222112227111100b77770000bbbbb78888855544438aaaaa5554443333a6699999936666
10,31,Corina Miner,2018-09-22,222112227111100b77770000bbbbb788aa655544488aaa6655544488a336699999933336
10,32,Corina Miner,2018-09-22,222112227111100b77770000bbbbb7a66665554448aaa36655544488aa33399999988833
10,33,Corina Miner,2018-09-22,222112227111100b77770000bbbbb76666a555444663aaa8555444333aa8899999933888
10,34,Corina Miner,2018-09-22,222112227111100b77770000bbbbb76aa8855544466aaa885554446633a8899999963333
10,35,Corina Miner,2018-09-22,222112227111100b77770000bbbbb788888555444aaaaa8355544466a333399999966663
10,36,Corina Miner,2018-09-22,222112227111100b77770000bbbbb78883355544488aa3335554448aaa366999999a6666
10,37,Corina Miner,2018-09-22,222112227111100b77770000bbbbb73333655544488a336655544488aaa6699999988aa6
10,38,Corina Miner,2018-09-22,222112227111100b77770000bbbbb7366665554443333a6655544438aaaaa99999988888
10,39,Corina Miner,2018-09-22,111212117222200b77770000bbbbb76666355544466a3333555444aaaaa8399999988888
10,40,Corina Miner,2018-09-22,111212117222200b77770000bbbbb7633335554446633a8855544466aaa889999996aa88
10,41,Corina Miner,2018-09-22,111212117222200b77770000bbbbb733888555444333aa88555444663aaa89999996666a
10,42,Corina Miner,2018-09-22,111212117222200b77770000bbbbb78888855544438aaaaa5554443333a6699999936666
10,43,Corina Miner,2018-09-22,111212117222200b77770000bbbbb788aa655544488aaa6655544488a336699999933336
10,44,Corina Miner,2018-09-22,111212117222200b77770000bbbbb7a66665554448aaa36655544488aa33399999988833
10,45,Corina Miner,2018-09-22,111212117222200b77770000bbbbb76666a555444663aaa8555444333aa8899999933888
10,46,Corina Miner,2018-09-22,111212117222200b77770000bbbbb76aa8855544466aaa885554446633a8899999963333
10,47,Corina Miner,2018-09-22,111212117222200b77770000bbbbb788888555444aaaaa8355544466a333399999966663
10,48,Corina Miner,2018-09-22,111212117222200b77770000bbbbb78883355544488aa3335554448aaa366999999a6666
10,49,Corina Miner,2018-09-22,111212117222200b77770000bbbbb73333655544488a336655544488aaa6699999988aa6
10,50,Corina Miner,2018-09-22,111212117222200b77770000bbbbb7366665554443333a6655544438aaaaa99999988888
11,1,Corina Miner,,222aa222aaa11884a111188944440088b9977740000bbb996677755533bb966665553333
12,1,Corina Miner,,222222aa9911aaa9941111ab99444400bbb88777400003bb886677755533388666655533
12,2,Corina Miner,2018-07-26,222222aa9911aaa9941111ab99444400bbb88555400007bb885553377776688333376666
12,3,Corina Miner,2018-10-03,22222288995558899455588b99444400bbba1111400007bbaaa1133777766aa333376666
13,1,Corina Miner,,33933399555329975552229a4777722aaa04444b711aa000664bbb11110806666bb88888
13,2,Corina Miner,2018-10-03,33933399555329975552229a4777722aaa04444b788aa000664bbb88110106666bb88111
14,1,Corina Miner,,2222220077700005557778884555366668844443333b668a11413bbbbbaaa111999999aa
14,2,Corina Miner,2014-02-16,2220022200007775557778884555366668844443333b668a11413bbbbbaaa111999999aa
14,3,Corina Miner,2018-10-03,b99bbb99777bb9955577788845553666688444433332668a1141300222aaa111000022aa
14,4,Corina Miner,2018-10-03,99b99bbb99bb77755577788845553666688444433332668a1141300222aaa111000022aa
14,5,Corina Miner,2018-10-03,2222220088800008866667774866377755544443333b555a11413bbbbbaaa111999999aa
14,6,Corina Miner,2018-10-03,b99bbb99888bb9988666677748663777555444433332555a1141300222aaa111000022aa
15,1,Corina Miner,,88888222a8222119aaa1111499baa00444499bbb000047779bb335557776633335556666
15,2,Corina Miner,2014-02-16,88888111a8112129aaa2222499baa00444499bbb000047779bb335557776633335556666
15,3,Corina Miner,2015-12-22,88288222a8822119aaa1111499baa00444499bbb000047779bb335557776633335556666
16,1,Corina Miner,,299222990022b990000bbb886444555bb88664445557788a6633111177aaa633331177aa
16,2,Corina Miner,,099000992020b992222bbb886444555bb88664445557788a6633111177aaa633331177aa
16,3,Corina Miner,2016-02-18,299222990022b990000bbb886444555bb88664445557788a6633331177aaa633111177aa
16,4,Corina Miner,2016-02-18,099000992020b992222bbb886444555bb88664445557788a6633331177aaa633111177aa
16,5,Corina Miner,2018-07-11,299222990022b990000bbb886331111bb88663333117788a6644455577aaa644455577aa
16,6,Corina Miner,2018-07-11,099000992020b992222bbb886331111bb88663333117788a6644455577aaa644455577aa
16,7,Corina Miner,2018-07-11,299222990022b990000bbb886333311bb88663311117788a6644455577aaa644455577aa
16,8,Corina Miner,2018-07-11,099000992020b992222bbb886333311bb88663311117788a6644455577aaa644455577aa
17,1,Corina Miner,,222222005550000455566667444466777731114a887b333311aaa88bbbbb31aa88999999
17,2,Corina Miner,2016-01-26,2222220055500004555888884444aaaaa831114777ab33331177766bbbbb316666999999
17,3,Corina Miner,2016-01-26,33b333bb5553bbb455566667444466777721114a8870022211aaa880000221aa88999999
17,4,Corina Miner,2016-01-26,33b333bb5553bbb4555888884444aaaaa821114777a00222117776600002216666999999
17,5,Corina Miner,2018-07-26,2222220055500004555666674444667777388a41117b333388aaa11bbbbb388aa1999999
17,6,Corina Miner,2018-07-26,2222220055500004555888884444aaaaa837774111ab33336677711bbbbb366661999999
17,7,Corina Miner,2018-07-28,33b333bb5553bbb4555666674444667777288a411170022288aaa1100002288aa1999999
17,8,Corina Miner,2018-07-28,33b333bb5553bbb4555888884444aaaaa827774111a00222667771100002266661999999
17,9,Corina Miner,2018-10-03,33b333bb5553bbb455566667444466777721114a8879922211aaa889900221aa88990000
17,10,Corina Miner,2018-10-03,33b333bb5553bbb4555888884444aaaaa821114777a99222117776699002216666990000
17,11,Corina Miner,2018-10-03,33b333bb5553bbb4555666674444667777288a411179922288aaa1199002288aa1990000
17,12,Corina Miner,2018-10-03,33b333bb5553bbb4555888884444aaaaa827774111a99222667771199002266661990000
17,13,Corina Miner,2018-10-03,33b333bb5553bbb455566667444466777701114a8879900011aaa889920201aa88992222
17,14,Corina Miner,2018-10-03,33b333bb5553bbb4555888884444aaaaa801114777a99000117776699202016666992222
17,15,Corina Miner,2018-10-03,33b333bb5553bbb4555666674444667777088a411179900088aaa1199202088aa1992222
17,16,Corina Miner,2018-10-03,33b333bb5553bbb4555888884444aaaaa807774111a99000667771199202066661992222
18,1,Corina Miner,,555055540004444802024111688222211aa6638889971aaa6633399b7777a63399bbbbb7
18,2,Corina Miner,2014-02-16,555255542224444822004111688000011aa6638889971aaa6633399b7777a63399bbbbb7
18,3,Corina Miner,2014-02-16,555055540004444902024111998222211aa9938888871aaa9333366b7777a36666bbbbb7
18,4,Corina Miner,2014-02-16,555255542224444922004111998000011aa9938888871aaa9333366b7777a36666bbbbb7
18,5,Corina Miner,2018-07-04,555055540004444902024111992222811aa9938888871aaa9333366b7777a36666bbbbb7
18,6,Corina Miner,2018-07-25,555055540004444902024111998222211aa9938888871aaa93333b667777a3bbbbb66667
18,7,Corina Miner,2018-07-25,555255542224444922004111998000011aa9938888871aaa93333b667777a3bbbbb66667
18,8,Corina Miner,2018-07-25,555055540004444902024111992222811aa9938888871aaa93333b667777a3bbbbb66667
18,9,Corina Miner,2018-09-25,555b5554bbb4444933bb4111993333811aa9928888871aaa922200667777a22000066667
18,10,Corina Miner,2018-09-25,5554555b4444bbb9334bb111993333811aa9928888871aaa922200667777a22000066667
18,11,Corina Miner,2018-09-25,5554555b4444bbb9334888bb993331188aa9923111178aaa922200667777a22000066667
18,12,Corina Miner,2019-01-13,555055540004444602024111663222211aa8663339971aaa8863399b7777a88899bbbbb7
18,13,Corina Miner,2019-01-13,555255542224444622004111663000011aa8663339971aaa8863399b7777a88899bbbbb7
18,14,Corina Miner,2019-01-13,555055540004444902024111993222211aa9933336671aaa9836666b7777a88888bbbbb7
18,15,Corina Miner,2019-01-13,555255542224444922004111993000011aa9933336671aaa9836666b7777a88888bbbbb7
19,1,Corina Miner,,22222299666649966744449977771411555070881113555a00088b3333aaa088bbbbb3aa
20,1,Corina Miner,,222002220000888aa77b9988aaa77bb99861a1177bbb9966111335554446633335554446
20,2,Corina Miner,2018-10-02,222002220000888aa778899baaa77899bb61a117799bbb66111335554446633335554446
20,3,Corina Miner,2018-10-02,2220022200008883377b998833377bb9986555377bbb9966555a111144466aaaaa114446
20,4,Corina Miner,2018-10-02,22200222000088833778899b33377899bb655537799bbb66555a111144466aaaaa114446
20,5,Corina Miner,2018-10-02,2220022200008883333b998877733bb9986555777bbb9966555a111144466aaaaa114446
20,6,Corina Miner,2018-10-02,22200222000088833338899b77733899bb655577799bbb66555a111144466aaaaa114446
21,1,Corina Miner,,5554555b4444bbb9934bb88899333377788992327771118a6622220011aaa666600001aa
21,2,Corina Miner,2018-10-03,555b5554bbb4444993bb488899333377788992327771118a6622220011aaa666600001aa
22,1,Corina Miner,,5559555299002229900002276988aa777746688aaa7344446688ab33314116bbbbb33111
22,2,Corina Miner,2018-10-03,5559555299002229900002276914447777a661144473aaa866111b333aa886bbbbb33888
22,3,Corina Miner,2018-10-03,5559555299002229900002276988aa777736688aaa7433336688ab44441136bbbbb41111
22,4,Corina Miner,2018-10-03,5559555299002229900002276914447777366114447a333366111baaaaa836bbbbb88888
23,1,Yuta Takagi,,1aa11aaa31112a233332222b03999999bbb00044477555bb080444775556688888776666
23,2,Corina Miner,2018-07-26,33933399111329911a12229b0aaaaa22bbb00044477555bb080444775556688888776666
23,3,Corina Miner,2025-02-06,33b333bb1113bbb11a1222990aaaaa222990004447755599080444775556688888776666
24,1,Corina Miner,,222002220000aa19977aaa1199877ab1116998877bbbbb66888335554446633335554446
24,2,Corina Miner,2018-10-02,2220022200001aa997711aaa99877111ba6998877bbbbb66888335554446633335554446
24,3,Corina Miner,2018-10-02,222002220000aa13377aaa1133377ab1116555377bbbbb66555888884446699999984446
24,4,Corina Miner,2018-10-02,2220022200001aa337711aaa33377111ba6555377bbbbb66555888884446699999984446
24,5,Corina Miner,2018-10-02,222002220000aa19977aaa1199877a411169988774444b66888335554bb663333555bbb6
24,6,Corina Miner,2018-10-02,222002220000aa19977aaa1199877a4111b9988774444bbb888335554bb6633335556666
24,7,Corina Miner,2018-10-02,222002220000aa19977aaa1199877ab1114998877bbb444488833555bb46633335556666
24,8,Corina Miner,2018-10-02,222002220000aa13377aaa1133377a411165553774444b66555888884bb669999998bbb6
24,9,Corina Miner,2018-10-02,222002220000aa13377aaa1133377a4111b5553774444bbb555888884bb6699999986666
24,10,Corina Miner,2018-10-02,222002220000aa13377aaa1133377ab1114555377bbb444455588888bb46699999986666
24,11,Corina Miner,2018-10-02,222002220000aa13333aaa1177733a411165557774444b66555888884bb669999998bbb6
24,12,Corina Miner,2018-10-02,222002220000aa13333aaa1177733a4111b5557774444bbb555888884bb6699999986666
24,13,Corina Miner,2018-10-02,222002220000aa13333aaa1177733ab1114555777bbb444455588888bb46699999986666
24,14,Corina Miner,2018-12-07,222002220000aa13333aaa1177733ab1116555777bbbbb66555888884446699999984446
24,15,Corina Miner,2018-12-07,2220022200001aa333311aaa77733111ba6555777bbbbb66555888884446699999984446
25,1,Corina Miner,,222002220000331994333311994444b1117995554bb7777a66555bbb78aaa666688888aa
26,1,Yuta Takagi,,99b998bb9988bbb3888a666603333aaa7660003111aa7777020211444555722221444555
26,2,Corina Miner,2018-07-11,99b998bb9988bbb3888a666623333aaa7662223111aa7777220011444555700001444555
27,1,Corina Miner,,9779977199b771139bbb111403333bb44440003a666645550202aaa8665552222aa88888
27,2,Corina Miner,2014-02-16,9779977199b771139bbb111423333bb44442223a666645552200aaa8665550000aa88888
28,1,Corina Miner,,5554555244442226774aa2296677aaa119986677a11113998860000b3333988800bbbbb3
29,1,Yuta Takagi,2012-10-14,99299222993322483333444408866664555000888766555a01011b7777aaa111bbbbb7aa
30,1,Yuta Takagi,2012-10-18,55595554b994444bbb994222bb3aa9112223333aaa111188663777a00008866667770088
30,2,Corina Miner,2025-01-29,55595554b994444bbb994111bb3aa9212113333aaa222288663777a00008866667770088
30,3,Corina Miner,2025-01-29,55595553299333b2229933bb422aa911bbb4444aaa111188664777a00008866667770088
31,1,Corina Miner,2012-10-19,222222aa1111aaa4113333ab444433555bb8664777555bbb886666777000088899999900
32,1,Corina Miner,2012-10-28,55535559033339900038889910b0882229611bbb87722266111abb7744466aaaaa774446
32,2,Corina Miner,2018-07-25,55535559033339900038889910b0882229611bbb82227766111abb4447766aaaaa444776
32,3,Corina Miner,2018-07-25,55535559033339900038829910b0882229611bbb88227766111abb4447766aaaaa444776
33,1,Corina Miner,2012-11-03,93399333990308829200088b2222a088bbb111aaaaabb777114445557776614445556666
33,2,Corina Miner,2012-11-08,93399333990308829200088b2222a088bbb777aaaaabb111667775554441166665554441
34,1,Corina Miner,2012-11-05,889b8899bbb8899bb3333292611113322226677110000555667744400a555677444aaaaa
35,1,Corina Miner,2012-11-10,99b99bbb99bb8aa488888aaa444422200a17774222000011667775553311166665553333
35,2,Corina Miner,2012-11-10,99b99bbb99bb8aa488888aaa444400222a17774000022211667775553311166665553333
36,1,Corina Miner,2012-11-27,88088000388010b2333311bb22236111bbba227766444555aaa7766444555aa776999999
37,1,Corina Miner,2012-12-22,5559555b9911bbb9941111bb39444466667833334667777a8830000272aaa888002222aa
37,2,Corina Miner,2018-07-25,5559555b9911bbb9941111bb09444466667000334667777a0803333272aaa888882222aa
38,1,Corina Miner,2013-08-09,08800088203088b222333bbbaa2233bb776aaa4445557766a11444555776611119999996
39,1,Corina Miner,2013-10-06,22222299b000099bb7008899bbb777788aa3333111788aaa663311444555a66661444555
40,1,Corina Miner,2013-10-10,888555884555b894444bbb996774222bb99667722200009a6677113300aaa611113333aa
40,2,Corina Miner,2018-07-25,888555884555b894444bbb991114222bb99117122200009a6677773300aaa666673333aa
41,1,Corina Miner,2013-10-11,88899b8899bbb8099bbaa0001444aaa020211444a7772222111335557776633335556666
41,2,Corina Miner,2013-10-11,88899b8899bbb8299bbaa2221444aaa220011444a7770000111335557776633335556666
42,1,Corina Miner,2013-10-11,88899b8899bbb8099bbaa0003333aaa020211133a7772222114445557776614445556666
42,2,Corina Miner,2013-10-11,88899b8899bbb8299bbaa2223333aaa220011133a7770000114445557776614445556666
43,1,Barty Sachs,2013-10-30,aa1aaa116a4111b6644449bb26677499bbb2226779988888220077933555800003333555
43,2,Corina Miner,2014-03-01,aa1aaa116a4111b6644449bb06677499bbb0006779988888020277933555822223333555
44,1,Corina Miner,2014-02-12,99b99bbb99777bb88888777308555663333000555466663a0202444411aaa222241111aa
44,2,Corina Miner,2014-02-12,99b99bbb99777bb88888777328555663333222555466663a2200444411aaa000041111aa
44,3,Corina Miner,2014-02-12,b99bbb99bb7779988888777308555663333000555466663a0202444411aaa222241111aa
44,4,Corina Miner,2014-02-12,b99bbb99bb7779988888777328555663333222555466663a2200444411aaa000041111aa
45,1,Corina Miner,2014-02-12,33b333bb7773bbb88077749988000444499a880102455599aaa1122255566aa111226666
45,2,Corina Miner,2014-02-12,33b333bb7773bbb88077749988000444499a880201455599aaa2221155566aa221116666
45,3,Corina Miner,2014-02-12,b33bb333bbb377788077749988000444499a880102455599aaa1122255566aa111226666
45,4,Corina Miner,2014-02-12,b33bb333bbb377788077749988000444499a880201455599aaa2221155566aa221116666
45,5,Corina Miner,2014-02-12,33b333bb7773bbb88077755588000995554a880102994444aaa1122299466aa111226666
45,6,Corina Miner,2014-02-12,33b333bb7773bbb88077755588000995554a880201994444aaa2221199466aa221116666
45,7,Corina Miner,2014-02-12,b33bb333bbb377788077755588000995554a880102994444aaa1122299466aa111226666
45,8,Corina Miner,2014-02-12,b33bb333bbb377788077755588000995554a880201994444aaa2221199466aa221116666
45,9,Corina Miner,2018-07-26,33b333bb7773bbb22277749911222444499a111100455599aaa8000055566aa888886666
45,10,Corina Miner,2018-07-26,33b333bb7773bbb11177749921211444499a222200455599aaa8000055566aa888886666
45,11,Corina Miner,2018-07-26,b33bb333bbb377722277749911222444499a111100455599aaa8000055566aa888886666
45,12,Corina Miner,2018-07-26,b33bb333bbb377711177749921211444499a222200455599aaa8000055566aa888886666
45,13,Corina Miner,2018-07-26,33b333bb7773bbb22277755511222995554a111100994444aaa8000099466aa888886666
45,14,Corina Miner,2018-07-26,33b333bb7773bbb11177755521211995554a222200994444aaa8000099466aa888886666
45,15,Corina Miner,2018-07-26,b33bb333bbb377722277755511222995554a111100994444aaa8000099466aa888886666
45,16,Corina Miner,2018-07-26,b33bb333bbb377711177755521211995554a222200994444aaa8000099466aa888886666
45,17,Corina Miner,2018-07-26,b33bb333bbb355588099555488000994444a880102994777aaa1122277766aa111226666
45,18,Corina Miner,2018-07-26,b33bb333bbb355588099555488000994444a880201994777aaa2221177766aa221116666
45,19,Corina Miner,2018-07-26,b33bb333bbb349988044449988000455599a880102555777aaa1122277766aa111226666
45,20,Corina Miner,2018-07-26,b33bb333bbb349988044449988000455599a880201555777aaa2221177766aa221116666
